Known	Ascertainment	GeneID	HGNC	EntrezID	CytoBand	ExACpLI	LOEUFbin	Arisk	ForecASD	ASDdnSignif	ASDNDDdnSignif	SFARICategory	SFARIScore	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan
.	TDT	ENSG00000100354	TNRC6B	23112	22q13.1	0.999999802750713	0	0.723583019060866	0.917127071823204	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	TDT	ENSG00000155111	CDK19	23097	6q21	0.99801709140742	0	0.424617709769512	0.598	.	.	.	.	.	.	.	.
x	TDT	ENSG00000175115	PACS1	55690	11q13.1-q13.2	0.999906351685189	0	0.491128318293278	0.422	.	.	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	activating	Brain/Cognition
.	TDT	ENSG00000069329	VPS35	55737	16q11.2	0.993599132125856	1	0.435867776509939	0.21	.	.	.	.	.	.	.	.
.	TDT	ENSG00000107518	ATRNL1	26033	10q25.3	0.995631864108185	0	0.213469146604858	0.292	.	.	.	.	.	.	.	.
x	TDT	ENSG00000151150	ANK3	288	10q21.2	0.999999999999921	0	0.793426482384601	0.7	.	.	Rare Single Gene Mutation, Genetic Association	1	.	.	.	.
.	TDT	ENSG00000005810	MYCBP2	23077	13q22.3	1	0	0.876057187747855	0.612	.	.	.	.	.	.	.	.
.	TDT	ENSG00000101361	NOP56	10528	20p13	0.973256819691124	1	0.545827065460465	0.018	.	.	.	.	.	.	.	.
.	Denovo	ENSG00000092295	TGM1	7051	14q12	5.30650116807075e-07	5	0.132854262908642	0.618	.	.	.	.	.	.	.	.
.	TDT	ENSG00000166833	NAV2	89797	11p15.1	0.997517125070282	0	0.61267075479595	0.426	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	TDT	ENSG00000090615	GOLGA3	2802	12q24.33	0.991564255599712	1	0.599432455455415	0.23	.	.	.	.	.	.	.	.
.	TDT	ENSG00000132972	RNF17	56163	13q12.12	0.99999998654341	0	0.0882265313990998	0.046	.	.	.	.	.	.	.	.
.	TDT	ENSG00000019144	PHLDB1	23187	11q23.3	0.81858015218857	1	0.608368373271734	0.146	.	.	.	.	.	.	.	.
.	TDT	ENSG00000183117	CSMD1	64478	8p23.2	.	0	0.36330564803359	0.648	.	.	Rare Single Gene Mutation, Genetic Association	3	.	.	.	.
.	TDT	ENSG00000138829	FBN2	2201	5q23.3	0.999999991794472	0	0.170359561039391	0.136	.	.	.	.	confirmed	monoallelic	dominant negative	Skeleton,Ear
.	TDT	ENSG00000165525	NEMF	9147	14q21.3	0.981706446227217	1	0.668477478280587	0.252	.	.	.	.	.	.	.	.
x	TDT	ENSG00000081479	LRP2	4036	2q31.1	0.99999999999851	0	0.234393203267074	0.292	.	.	Rare Single Gene Mutation, Syndromic, Genetic Association	3	possible|confirmed	monoallelic|biallelic	loss of function	Brain/Cognition|Kidney Renal Tract,Brain/Cognition,Eye,Ear
.	TDT	ENSG00000116991	SIPA1L2	57568	1q42.2	0.999219705697118	1	0.50589458525407	0.062	.	.	.	.	.	.	.	.
.	TDT	ENSG00000029725	RABEP1	9135	17p13.2	0.982815073240194	0	0.605133651803082	0.572	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000142599	RERE	473	1p36.23	0.999995655258253	0	0.630201633948429	0.712	.	x	Rare Single Gene Mutation, Syndromic, Genetic Association	1	confirmed	monoallelic	loss of function	Kidney Renal Tract,Face,Brain/Cognition,Genitalia,Ear,Heart/Cardiovasculature/Lymphatic
.	TDT	ENSG00000110048	OSBP	5007	11q12.1	0.999542555149074	0	0.385156135795083	0.332	.	.	.	.	.	.	.	.
.	TDT	ENSG00000198355	PIM3	415116	22q13.33	0.937120654328565	0	0.163367974579347	0.012	.	.	.	.	.	.	.	.
.	TDT	ENSG00000125450	NUP85	79902	17q25.1	0.999782631941592	0	0.218211836909664	0.196	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151208	DLG5	9231	10q22.3	0.999998542279994	0	0.700466326275616	0.363834422657952	.	.	.	.	.	.	.	.
.	TDT	ENSG00000136875	PRPF4	9128	9q32	0.999643089192096	0	0.374967429066026	0.396	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000170471	RALGAPB	57148	20q11.23	0.999999955632558	0	0.457348914094686	0.65	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	TDT	ENSG00000100345	MYH9	4627	22q12.3	0.999999999912023	0	0.181705977361016	0.378	.	.	.	.	confirmed	monoallelic	uncertain|loss of function	Bone Marrow/Immune
.	TDT	ENSG00000145860	RNF145	153830	5q33.3	0.663621979090798	1	0.498831960968526	0.026	.	.	.	.	.	.	.	.
.	TDT	ENSG00000088325	TPX2	22974	20q11.21	0.992124193249196	0	0.109134202229056	0.026	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000204406	MBD5	55777	2q23.1	0.999852333253027	0	0.199910743499008	0.828	.	x	Rare Single Gene Mutation, Syndromic	1	probable	monoallelic	loss of function	Brain/Cognition
x	Denovo,TDT	ENSG00000158321	AUTS2	26053	7q11.22	0.996187482008472	0	0.682096452337282	0.756	x	x	Rare Single Gene Mutation, Syndromic, Genetic Association	1	confirmed	monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000106683	LIMK1	3984	7q11.23	0.990896287164463	0	0.302249907100421	0.31	.	.	.	.	.	.	.	.
.	TDT	ENSG00000102755	FLT1	2321	13q12.2-q12.3	0.997806027350573	0	0.0833446396784873	0.268	.	.	.	.	.	.	.	.
.	TDT	ENSG00000145087	STXBP5L	9515	3q13.33	0.99994837069221	0	0.341639096258368	0.494	.	.	.	.	.	.	.	.
x	TDT	ENSG00000196876	SCN8A	6334	12q13.13	0.999998290292746	0	0.354665262184463	0.666	.	.	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function|dominant negative	Brain/Cognition
.	TDT	ENSG00000135486	HNRNPA1	3178	12q13.13	0.966614388412206	0	0.48010703187864	0.578	.	.	.	.	.	.	.	.
x	TDT	ENSG00000079432	CIC	23152	19q13.2	0.99990294666404	0	0.401415991328322	0.715789473684211	.	.	Rare Single Gene Mutation, Functional	1	probable	monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000122778	KIAA1549	57670	7q34	0.998645789892966	1	0.895244821022877	0.384	.	.	.	.	.	.	.	.
x	TDT	ENSG00000157764	BRAF	673	7q34	0.999978196041997	0	0.168334846976735	0.188	.	.	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	activating	Skin,Brain/Cognition,Heart/Cardiovasculature/Lymphatic
.	TDT	ENSG00000091157	WDR7	23335	18q21.31	0.999999983540482	0	0.449773263130678	0.532	.	.	.	.	.	.	.	.
.	TDT	ENSG00000198780	FAM169A	26049	5q13.3	0.998576224772368	0	0.707072114679146	0.69	.	.	.	.	.	.	.	.
.	TDT	ENSG00000078747	ITCH	83737	20q11.22	0.999990177147491	0	0.26330251570828	0.266	.	.	.	.	probable	biallelic	loss of function	Bone Marrow/Immune
x	TDT	ENSG00000187498	COL4A1	1282	13q34	0.99999998123739	0	0.207430150296306	0.216	.	.	.	.	both RD and IF	monoallelic	dominant negative	Brain/Cognition,Heart/Cardiovasculature/Lymphatic
.	Denovo,TDT	ENSG00000115421	PAPOLG	64895	2p16.1	0.989888395224926	0	0.317648995170891	0.873913043478261	.	.	Rare Single Gene Mutation	3	.	.	.	.
.	TDT	ENSG00000153339	TRAPPC8	22878	18q12.1	0.999999744151836	0	0.244572969400145	0.192	.	.	.	.	.	.	.	.
.	TDT	ENSG00000133657	ATP13A3	79572	3q29	0.999967444596667	0	0.477104012484025	0.28322440087146	.	.	.	.	.	.	.	.
.	TDT	ENSG00000113161	HMGCR	3156	5q13.3	0.999836644997739	0	0.595002599592305	0.438	.	.	.	.	.	.	.	.
.	TDT	ENSG00000092148	HECTD1	25831	14q12	0.999999999999764	0	0.652391951325861	0.41	.	.	.	.	.	.	.	.
.	TDT	ENSG00000106105	GARS	2617	7p14.3	0.788927209872354	1	0.476823398259865	0.084	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151952	TMEM132D	121256	12q24.33	0.999010386532627	0	0.124420313339824	0.164	.	.	.	.	.	.	.	.
.	TDT	ENSG00000141551	CSNK1D	1453	17q25.3	0.991910743527009	0	0.157559733438664	0.234	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151240	DIP2C	22982	10p15.3	0.999999838277401	0	0.655423621743347	0.635	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	TDT	ENSG00000084234	APLP2	334	11q24.3	0.521618002879557	1	0.715709317735469	0.264	.	.	.	.	.	.	.	.
.	TDT	ENSG00000102935	ZNF423	23090	16q12.1	0.990468533215048	0	0.255426791311827	0.512658227848101	.	.	.	.	.	.	.	.
.	Denovo,TDT	ENSG00000136813	ECPAS	23392	9q31.3	0.999999935694415	0	0.359834194809085	0.03	.	.	.	.	.	.	.	.
x	TDT	ENSG00000105464	GRIN2D	2906	19q13.33	0.998648757458714	0	0.38215682905802	0.746	.	.	.	.	probable	monoallelic	activating	Brain/Cognition
.	TDT	ENSG00000187672	ERC2	26059	3p14.3	0.9968564624658	1	0.786028649528052	0.548	.	.	.	.	.	.	.	.
.	TDT	ENSG00000131242	RAB11FIP4	84440	17q11.2	0.993663613309385	1	0.501422134051836	0.286	.	.	.	.	.	.	.	.
.	TDT	ENSG00000185591	SP1	6667	12q13.13	0.997637149483068	0	0.322648189492628	0.082	.	.	.	.	.	.	.	.
.	TDT	ENSG00000185532	PRKG1	5592	10q11.23-q21.1	0.999743687068331	0	0.296254126142359	0.346	.	.	.	.	.	.	.	.
.	TDT	ENSG00000171681	ATF7IP	55729	12p13.1	0.99974103814101	0	0.700515172637215	0.576	.	.	.	.	.	.	.	.
x	TDT	ENSG00000164588	HCN1	348980	5p12	0.953138502832124	0	0.131765131196177	0.516	.	.	.	.	confirmed	monoallelic	all missense/in frame	Brain/Cognition
.	TDT	ENSG00000214517	PPME1	51400	11q13.4	0.92489377029294	0	0.516375839093104	0.476	.	.	.	.	.	.	.	.
.	Denovo	ENSG00000197951	ZNF71	58491	19q13.43	8.08795745626604e-06	6	0.297547558983664	0.018	.	.	.	.	.	.	.	.
.	TDT	ENSG00000243156	MICAL3	57553	22q11.21	0.999997947705208	1	0.438631123791192	0.266	.	.	.	.	.	.	.	.
x	TDT	ENSG00000142156	COL6A1	1291	21q22.3	0.999994534766207	0	0.386414119527111	0.176	.	.	.	.	confirmed	monoallelic	all missense/in frame	
.	TDT	ENSG00000136040	PLXNC1	10154	12q22	0.999714839774068	1	0.689443161796932	0.418	.	.	.	.	.	.	.	.
x	TDT	ENSG00000127603	MACF1	23499	1p34.3	1	0	0.722719888559085	0.334	.	.	.	.	probable	monoallelic	all missense/in frame	Brain/Cognition
x	TDT	ENSG00000140836	ZFHX3	463	16q22.2-q22.3	0.999999999859262	0	0.465209805718009	0.164	.	.	.	.	probable	monoallelic	loss of function	
.	TDT	ENSG00000070614	NDST1	3340	5q33.1	0.998138371728285	0	0.272154842859808	0.41	.	.	.	.	possible	biallelic	all missense/in frame	Brain/Cognition
.	TDT	ENSG00000108349	CASC3	22794	17q21.1	0.913674728687448	1	0.498973594634763	0.268	.	.	.	.	.	.	.	.
.	TDT	ENSG00000103479	RBL2	5934	16q12.2	0.957797035589511	0	0.227366913717871	0.0787234042553192	.	.	.	.	.	.	.	.
.	TDT	ENSG00000114554	PLXNA1	5361	3q21.3	0.999998424887592	0	0.591420452103826	0.556	.	.	.	.	.	.	.	.
.	TDT	ENSG00000088179	PTPN4	5775	2q14.2	0.999997516004175	1	0.434618738864788	0.094	.	.	.	.	.	.	.	.
.	TDT	ENSG00000100852	ARHGAP5	394	14q12	0.98705369807694	0	0.710617306837717	0.91	.	.	Rare Single Gene Mutation	3	.	.	.	.
.	TDT	ENSG00000080345	RIF1	55183	2q23.3	0.999999997436204	0	0.628716356259755	0.368	.	.	.	.	.	.	.	.
.	TDT	ENSG00000215421	ZNF407	55628	18q22.3	0.999995919065608	0	0.207533286825086	0.368	.	.	.	.	.	.	.	.
.	TDT	ENSG00000101544	ADNP2	22850	18q23	0.346937920967371	1	0.509312475689469	0.19	.	.	.	.	.	.	.	.
.	TDT	ENSG00000108509	CAMTA2	23125	17p13.2	0.999991613720089	0	0.134464885836648	0.438444924406048	.	.	.	.	.	.	.	.
.	TDT	ENSG00000100425	BRD1	23774	22q13.33	0.994534773397455	0	0.60237044760944	0.638	.	.	.	.	.	.	.	.
.	TDT	ENSG00000198862	LTN1	26046	21q21.3	0.832714009845553	1	0.58983108085913	0.85	.	.	.	.	.	.	.	.
.	TDT	ENSG00000024048	UBR2	23304	6p21.1	0.999999880132158	0	0.495986739548524	0.444	.	.	.	.	.	.	.	.
.	TDT	ENSG00000100129	EIF3L	51386	22q13.1	0.93881361379477	1	0.438375136019966	0.212	.	.	.	.	.	.	.	.
.	TDT	ENSG00000060749	QSER1	79832	11p13	0.999935658653166	0	0.692440541204408	0.06	.	.	.	.	.	.	.	.
.	TDT	ENSG00000005379	TSPOAP1	9256	17q22	0.0566264084919234	1	0.48366878524338	0.24	.	.	Rare Single Gene Mutation	3	.	.	.	.
.	TDT	ENSG00000173473	SMARCC1	6599	3p21.31	0.999999593393603	0	0.505042068646979	0.59	.	.	.	.	.	.	.	.
.	TDT	ENSG00000052126	PLEKHA5	54477	12p12.3	0.999999407945124	0	0.785979719089688	0.324	.	.	.	.	.	.	.	.
.	TDT	ENSG00000160460	SPTBN4	57731	19q13.2	.	0	0.158690652776254	0.468	.	.	.	.	.	.	.	.
.	TDT	ENSG00000152670	DDX4	54514	5q11.2	0.998516038315595	0	0.0483433798273093	0.19	.	.	.	.	.	.	.	.
x	TDT	ENSG00000198216	CACNA1E	777	1q25.3	0.999999999999934	0	0.76084371990085	0.656	.	.	Rare Single Gene Mutation	2	probable|confirmed	monoallelic	gain of function|activating	Brain/Cognition
.	TDT	ENSG00000196277	GRM7	2917	3p26.1	0.999169068679813	0	0.159040076719306	0.564	.	.	Rare Single Gene Mutation, Genetic Association	3	.	.	.	.
.	TDT	ENSG00000111752	PHC1	1911	12p13.31	0.997152365464677	0	0.716515925472472	0.596	.	.	.	.	possible	biallelic	all missense/in frame	Brain/Cognition
.	TDT	ENSG00000147421	HMBOX1	79618	8p12-p21.1	0.997096381434551	0	0.215349911862775	0.194	.	.	.	.	.	.	.	.
.	TDT	ENSG00000132424	PNISR	25957	6q16.2	0.999085487307753	0	0.616384401703187	0.57	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000168137	SETD5	55209	3p25.3	0.999999563778174	0	0.755827754412989	0.808988764044944	x	x	Rare Single Gene Mutation, Syndromic	1	confirmed	monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000168214	RBPJ	3516	4p15.2	0.999929168569422	0	0.682927724545889	0.51	.	.	.	.	probable	monoallelic	all missense/in frame	Skin,Skeleton
x	TDT	ENSG00000005007	UPF1	5976	19p13.11	0.999926075341711	0	0.306914162285207	0.394	.	.	.	.	probable	monoallelic	loss of function	
x	TDT	ENSG00000133026	MYH10	4628	17p13.1	0.999997549727666	0	0.317871976688158	0.94	.	.	Rare Single Gene Mutation	2	possible	monoallelic	loss of function	Skeleton,Respiratory tract,Brain/Cognition
.	TDT	ENSG00000198513	ATL1	51062	14q22.1	0.99211803597583	1	0.427481778627082	0.168	.	.	.	.	.	.	.	.
.	TDT	ENSG00000031081	ARHGAP31	57514	3q13.33	0.999634465686628	0	0.115190191302588	0.026	.	.	.	.	probable	monoallelic	loss of function	Skin,Skeleton
.	TDT	ENSG00000184708	EIF4ENIF1	56478	22q12.2	0.999689053765957	0	0.355554150319588	0.538	.	.	.	.	.	.	.	.
.	TDT	ENSG00000108406	DHX40	79665	17q23.1	0.996354246510063	1	0.453985184787248	0.31	.	.	.	.	.	.	.	.
.	TDT	ENSG00000116675	DNAJC6	9829	1p31.3	0.99918835079312	0	0.528718165129589	0.456	.	.	.	.	.	.	.	.
.	TDT	ENSG00000031823	RANBP3	8498	19p13.3	0.999905044102182	0	0.242626500146543	0.558	.	.	.	.	.	.	.	.
x	TDT	ENSG00000108055	SMC3	9126	10q25.2	0.99999999949759	0	0.678399482937592	0.554	.	.	Rare Single Gene Mutation, Syndromic	3S	confirmed	monoallelic	uncertain	Skeleton,Brain/Cognition
.	TDT	ENSG00000102753	KPNA3	3839	13q14.2	0.809823934177535	1	0.491946595750027	0.422413793103448	.	.	.	.	.	.	.	.
.	TDT	ENSG00000213923	CSNK1E	1454	22q13.1	0.967319235295747	0	0.737751715550759	0.876	.	.	Rare Single Gene Mutation, Functional	3	.	.	.	.
x	TDT	ENSG00000090061	CCNK	8812	14q32.2	0.997144332155116	0	0.2131556487556	0.038	.	.	Syndromic	S	possible	monoallelic	loss of function	Face,Brain/Cognition
.	TDT	ENSG00000116106	EPHA4	2043	2q36.1	0.99989132522117	0	0.414938991595949	0.576	.	.	.	.	.	.	.	.
.	TDT	ENSG00000168710	AHCYL1	10768	1p13.3	0.999795279646545	1	0.7245300301591	0.158	.	.	.	.	.	.	.	.
.	TDT	ENSG00000177103	DSCAML1	57453	11q23.3	0.999999092176902	0	0.147883173442671	0.5	.	.	.	.	.	.	.	.
.	Denovo	ENSG00000177150	FAM210A	125228	18p11.21	0.0151243026401628	7	0.152979447960115	0.0152173913043478	.	.	.	.	.	.	.	.
.	TDT	ENSG00000118503	TNFAIP3	7128	6q23.3	0.999666684982313	0	0.065968089458116	0.274	.	.	.	.	.	.	.	.
.	TDT	ENSG00000160094	ZNF362	149076	1p35.1	0.928285965252321	1	0.454156504941663	0.336	.	.	.	.	.	.	.	.
.	TDT	ENSG00000102786	INTS6	26512	13q14.3	0.999996534735088	0	0.348351590112411	0.994219653179191	.	.	Rare Single Gene Mutation	2	.	.	.	.
.	TDT	ENSG00000131437	KIF3A	11127	5q31.1	0.992416127781631	1	0.839910689423057	0.448	.	.	.	.	.	.	.	.
.	TDT	ENSG00000107882	SUFU	51684	10q24.32	0.99916148458521	0	0.193355665184508	0.87	.	.	.	.	probable	biallelic	all missense/in frame	Face,Brain/Cognition
.	TDT	ENSG00000148842	CNNM2	54805	10q24.32	0.994106430518482	0	0.16764382772857	0.268	.	.	.	.	.	.	.	.
.	TDT	ENSG00000188803	SHISA6	388336	17p12	.	1	0.407966827155193	0.118	.	.	.	.	.	.	.	.
.	TDT	ENSG00000169221	TBC1D10B	26000	16p11.2	0.98178412798823	0	0.342271030230369	0.222	.	.	.	.	.	.	.	.
.	TDT	ENSG00000134900	TPP2	7174	13q33.1	0.999863188903156	0	0.211923540853683	0.352	.	.	.	.	.	.	.	.
.	TDT	ENSG00000119547	ONECUT2	9480	18q21.31	0.903998414160395	1	0.764129496007828	0.334	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151553	FAM160B1	57700	10q25.3	0.999984985147066	0	0.476057206942033	0.224	.	.	.	.	.	.	.	.
.	TDT	ENSG00000141570	CBX8	57332	17q25.3	0.994625905090376	0	0.129925412960818	0.346	.	.	.	.	.	.	.	.
x	TDT	ENSG00000183454	GRIN2A	2903	16p13.2	0.99804480805101	0	0.190044564798915	0.566	.	.	Rare Single Gene Mutation, Syndromic, Genetic Association	2	confirmed	monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000110880	CORO1C	23603	12q24.11	0.997273678156858	0	0.476942444636156	0.378	.	.	.	.	.	.	.	.
.	TDT	ENSG00000102921	N4BP1	9683	16q12.1	0.361226867556661	1	0.40447012965554	0.116	.	.	.	.	.	.	.	.
.	TDT	ENSG00000135829	DHX9	1660	1q25.3	0.999999986154664	0	0.403228358741431	0.372	.	.	.	.	.	.	.	.
.	TDT	ENSG00000135392	DNAJC14	85406	12q13.2	0.999707754511218	0	0.245258952175911	0.046	.	.	.	.	.	.	.	.
.	TDT	ENSG00000145833	DDX46	9879	5q31.1	0.999997754157555	0	0.42956209914486	0.362	.	.	.	.	.	.	.	.
x	Denovo,TDT	ENSG00000135387	CAPRIN1	4076	11p13	0.999767661808702	1	0.406489214479187	0.364	.	.	Rare Single Gene Mutation, Functional	2	possible	monoallelic	loss of function	Brain/Cognition
.	TDT	ENSG00000185352	HS6ST3	266722	13q32.1	0.747377572908153	0	0.527050470195098	0.068	.	.	.	.	.	.	.	.
.	TDT	ENSG00000115419	GLS	2744	2q32.2	0.999302599696976	1	0.631465149426903	0.488	.	.	.	.	.	.	.	.
.	TDT	ENSG00000169946	ZFPM2	23414	8q23.1	0.999955693827333	0	0.231618230442328	0.35	.	.	.	.	possible	monoallelic	all missense/in frame|loss of function	GI tract,Heart/Cardiovasculature/Lymphatic
.	TDT	ENSG00000140948	ZCCHC14	23174	16q24.2	0.94883572655475	1	0.668765546615409	0.68	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170248	PDCD6IP	10015	3p22.3	0.751958921876168	1	0.555783520635424	0.016	.	.	.	.	.	.	.	.
x	TDT	ENSG00000188994	ZNF292	23036	6q14.3	0.999976984136083	0	0.692673677019183	0.764	.	.	Rare Single Gene Mutation	1	probable	monoallelic	loss of function	
x	Denovo,TDT	ENSG00000120251	GRIA2	2891	4q32.1	0.99550949045347	0	0.861980401814572	0.94	.	x	Rare Single Gene Mutation	2	probable	monoallelic	loss of function	
.	TDT	ENSG00000163527	STT3B	201595	3p23	0.980028091148833	0	0.269174625468013	0.19	.	.	.	.	possible	biallelic	loss of function	Endocrine/Metabolic,Brain/Cognition
.	TDT	ENSG00000111300	NAA25	80018	12q24.13	0.999989964284881	0	0.31060166986055	0.3	.	.	.	.	.	.	.	.
.	TDT	ENSG00000065609	SNAP91	9892	6q14.2	0.974350743810835	0	0.596855134996229	0.532	.	.	.	.	.	.	.	.
.	TDT	ENSG00000065000	AP3D1	8943	19p13.3	0.798002533603789	1	0.457588642045764	0.42	.	.	.	.	.	.	.	.
.	TDT	ENSG00000151692	RNF144A	9781	2p25.1-p25.2	0.988258456955496	1	0.485713616210514	0.191810344827586	.	.	.	.	.	.	.	.
.	TDT	ENSG00000115241	PPM1G	5496	2p23.3	0.996010385533881	1	0.598209633915244	0.250539956803456	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170485	NPAS2	4862	2q11.2	0.990888561613575	0	0.085928362379416	0.672	.	.	Genetic Association	3	.	.	.	.
.	TDT	ENSG00000100644	HIF1A	3091	14q23.2	0.980689532418508	1	0.706436112177923	0.418	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170852	KBTBD2	25948	7p14.3	0.991275949151835	0	0.38956024245178	0.294	.	.	.	.	.	.	.	.
.	TDT	ENSG00000025293	PHF20	51230	20q11.23-q11.22	0.975739227580779	0	0.382748372113346	0.458	.	.	.	.	.	.	.	.
.	TDT	ENSG00000155506	LARP1	23367	5q33.2	0.9999521889832	0	0.673005864969169	0.406	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170606	HSPA4	3308	5q31.1	0.999958225713848	0	0.246152601890037	0.272	.	.	.	.	.	.	.	.
.	TDT	ENSG00000170653	ATF7	11016	12q13.13	0.983314715299326	0	0.183430704393911	0.156	.	.	.	.	.	.	.	.
.	TDT	ENSG00000097033	SH3GLB1	51100	1p22.3	0.730421396838354	0	0.584850236020448	0	.	.	.	.	.	.	.	.
.	TDT	ENSG00000071537	SEL1L	6400	14q31.1	0.704308255469323	1	0.434246664812257	0.062	.	.	.	.	.	.	.	.
.	TDT	ENSG00000125966	MMP24	10893	20q11.22	0.0287623289506785	1	0.572109481802608	0.143763213530655	.	.	.	.	.	.	.	.
