Strict	SPARK	Signif	GeneID	HGNC	CytoBand	ExACpLI	gnomADpLI	LoFOvsE	LOEUF	LOEUFbin	SynOvsE	sHet	Frisk	FriskRank	forecASD	SFARICategory	SFARIScore	SFARIScore201908	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan
x	x	x	ENSG00000100888	CHD8	14q11.2	1.0000e+00	1.0000e+00	3.8764e-02	8.2000e-02	0	9.4139e-01	0.155416372713663	0.716347372373926	468	1	Rare Single Gene Mutation, Functional	1	1S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000251322	SHANK3	22q13.33	9.9984e-01	1.0000e+00	3.9226e-02	1.2300e-01	0	1.2148e+00	.	0.39588707133294	2688	0.896	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	1S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000116539	ASH1L	1q22	1.0000e+00	1.0000e+00	2.3938e-02	6.2000e-02	0	9.3320e-01	0.375950611171937	0.826435906565209	92	1	Rare Single Gene Mutation, Syndromic	1	1	probable	monoallelic	all missense/in frame	Brain/Cognition
x	x	x	ENSG00000146830	GIGYF1	7q22.1	9.7870e-01	3.4196e-06	3.3896e-01	4.8400e-01	2	1.2620e+00	0.0465730646980865	0.560433093649205	1235	0.766	Rare Single Gene Mutation	1	3	probable	monoallelic	loss of function	
x	x	x	ENSG00000157103	SLC6A1	3p25.3	9.9930e-01	9.9993e-01	3.1589e-02	1.5000e-01	0	1.0979e+00	0.28395350363391	0.722578287594608	434	1	Rare Single Gene Mutation, Syndromic, Genetic Association	1	2S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000119772	DNMT3A	2p23.3	7.7279e-45	7.3538e-39	1.2550e+00	1.5810e+00	8	9.4788e-01	0.0029023332584315	0.509164644744208	1566	0.96	Rare Single Gene Mutation, Syndromic, Genetic Association	1	3S	confirmed|probable	monoallelic	loss of function|gain of function	Endocrine/Metabolic,Brain/Cognition|
x	x	x	ENSG00000273079	GRIN2B	12p13.1	9.9999e-01	1.0000e+00	0.0000e+00	6.1000e-02	0	1.1351e+00	0.464406157299953	0.240091248836784	6076	1	Rare Single Gene Mutation, Syndromic, Genetic Association	1	1	confirmed	monoallelic	loss of function|all missense/in frame	Brain/Cognition
x	x	x	ENSG00000141431	ASXL3	18q12.1	9.9998e-01	1.0000e+00	1.1024e-01	1.9900e-01	0	1.0075e+00	0.151399887135011	0.684577144030531	605	0.906593406593407	Rare Single Gene Mutation, Syndromic	1	1S	probable	monoallelic	loss of function	Face,Brain/Cognition
x	x	x	ENSG00000036257	CUL3	2q36.2	9.7406e-01	9.9960e-01	9.9704e-02	2.2800e-01	0	1.1191e+00	0.0599842347665313	0.625008329987065	865	0.977272727272727	Rare Single Gene Mutation, Genetic Association	1	1	probable	monoallelic	loss of function	
x	x	x	ENSG00000174672	BRSK2	11p15.5	7.7957e-01	9.5141e-01	1.6685e-01	3.2900e-01	1	1.1992e+00	0.0456822088943631	0.512130218323959	1547	0.874	Rare Single Gene Mutation, Syndromic	1	.	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000160551	TAOK1	17q11.2	1.0000e+00	9.9787e-01	1.6541e-01	2.7400e-01	1	9.1215e-01	0.222077828270276	0.745844339487236	343	0.31	.	.	.	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000136854	STXBP1	9q34.11	9.9988e-01	1.0000e+00	0.0000e+00	8.6000e-02	0	8.9508e-01	0.186154449609195	0.852019604550857	42	0.618	Rare Single Gene Mutation, Syndromic, Functional	1	3S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000196712	NF1	17q11.2	1.0000e+00	9.0175e-01	2.1503e-01	2.9000e-01	1	9.3806e-01	0.0614085107863968	0.353263829816025	3275	0.644	Rare Single Gene Mutation, Syndromic, Genetic Association	1	.	confirmed	monoallelic	loss of function	Skin,Spinal cord/Peripheral nerves,Brain/Cognition
x	x	x	ENSG00000102974	CTCF	16q22.1	9.9792e-01	9.9994e-01	3.1238e-02	1.4800e-01	0	1.1418e+00	0.191664496718509	0.480351031480276	1811	0.942	Rare Single Gene Mutation, Syndromic, Functional	1	3	confirmed	monoallelic	loss of function	Brain/Cognition
.	x	x	ENSG00000198963	RORB	9q21.13	9.9855e-01	9.9991e-01	0.0000e+00	1.1200e-01	0	9.9889e-01	0.278004020888557	0.123355950816988	10914	0.818	.	.	.	.	.	.	.
x	x	x	ENSG00000186487	MYT1L	2p25.3	9.9996e-01	1.0000e+00	1.8386e-02	8.7000e-02	0	8.3605e-01	0.109811072271722	0.872944148856873	16	0.971098265895954	Rare Single Gene Mutation, Syndromic, Genetic Association	1	1	confirmed	monoallelic	loss of function	
x	.	x	ENSG00000177565	TBL1XR1	3q26.32	9.9882e-01	9.9995e-01	0.0000e+00	1.0600e-01	0	1.0505e+00	0.334413309766486	0.703829298753361	519	0.847368421052632	Rare Single Gene Mutation, Syndromic	2	2	confirmed	monoallelic	loss of function|activating	Skeleton,Brain/Cognition|Brain/Cognition
x	x	x	ENSG00000123066	MED13L	12q24.21	1.0000e+00	1.0000e+00	2.0314e-02	6.4000e-02	0	1.0117e+00	0.144171438308513	0.756076507309161	304	0.797752808988764	Rare Single Gene Mutation, Syndromic	1	2S	probable	monoallelic	loss of function	Brain/Cognition,Heart/Cardiovasculature/Lymphatic
x	x	x	ENSG00000118058	KMT2A	11q23.3	1.0000e+00	1.0000e+00	3.1118e-02	6.5000e-02	0	8.9727e-01	0.216813072480876	0.819152295196121	112	0.41025641025641	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Skin,Skeleton,Brain/Cognition
x	x	x	ENSG00000136535	TBR1	2q24.2	9.9359e-01	9.9901e-01	4.0900e-02	1.9400e-01	0	9.2999e-01	0.251181013774268	.	.	1	Rare Single Gene Mutation, Genetic Association	1	1	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000080298	RFX3	9p24.2	9.9977e-01	1.0000e+00	2.1827e-02	1.0400e-01	0	1.2133e+00	0.142619921285317	0.59123656774465	1042	0.776	Rare Single Gene Mutation	1	4	.	.	.	.
x	x	x	ENSG00000145362	ANK2	4q25-q26	1.0000e+00	1.0000e+00	6.2573e-02	1.0600e-01	0	1.0259e+00	0.143878140908913	0.781349470668933	220	0.988372093023256	Rare Single Gene Mutation	1	1	possible	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000095787	WAC	10p12.1	9.9989e-01	1.0000e+00	0.0000e+00	8.4000e-02	0	1.0470e+00	0.378565497130553	0.803795230868057	143	0.872340425531915	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	monoallelic	loss of function	Brain/Cognition|
x	x	x	ENSG00000135365	PHF21A	11p11.2	9.9968e-01	1.0000e+00	0.0000e+00	8.0000e-02	0	8.7518e-01	0.385871012604466	0.493321801101548	1700	0.9	Rare Single Gene Mutation, Syndromic	1	4S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000139613	SMARCC2	12q13.2	1.0000e+00	1.0000e+00	4.5283e-02	1.1700e-01	0	9.6784e-01	0.534618701432534	0.835950658523248	70	0.818181818181818	Rare Single Gene Mutation, Syndromic, Functional	1	2S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000168036	CTNNB1	3p22.1	9.9981e-01	9.9999e-01	2.7240e-02	1.2900e-01	0	9.8506e-01	0.134469233438454	0.506798084527859	1586	0.864	Rare Single Gene Mutation, Syndromic	1	3	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000132510	KDM6B	17p13.1	9.9999e-01	1.0000e+00	6.1331e-02	1.4000e-01	0	1.3094e+00	0.146792021441525	0.35995656224635	3163	1	Rare Single Gene Mutation, Syndromic	1	3	possible|probable	biallelic|monoallelic	all missense/in frame|loss of function	Brain/Cognition|
x	x	x	ENSG00000131089	ARHGEF9	Xq11.1	9.8307e-01	9.9890e-01	0.0000e+00	1.5100e-01	0	9.7252e-01	0.213172779698941	0.560562455777677	1232	0.25	Rare Single Gene Mutation, Syndromic	1	4S	probable	x-linked dominant	loss of function	
x	x	x	ENSG00000215301	DDX3X	Xp11.4	9.9893e-01	9.9986e-01	0.0000e+00	1.1800e-01	0	1.0906e+00	0.317970942695423	0.754426610277682	310	0.938888888888889	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	x-linked dominant|hemizygous	loss of function|all missense/in frame	Brain/Cognition|Liver,Brain/Cognition
x	.	x	ENSG00000197102	DYNC1H1	14q32.31	1.0000e+00	1.0000e+00	4.8236e-02	8.0000e-02	0	1.0678e+00	0.420020834045574	0.545021978532681	1327	0.698	Rare Single Gene Mutation, Syndromic	2	3	confirmed	monoallelic	all missense/in frame	Brain/Cognition
x	x	x	ENSG00000167522	ANKRD11	16q24.3	1.0000e+00	1.0000e+00	4.6779e-02	1.0700e-01	0	1.3683e+00	0.177788579045281	0.697624643999741	548	0.931428571428571	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	monoallelic	loss of function	Teeth & Dentitian,Skeleton,Brain/Cognition
x	x	x	ENSG00000177030	DEAF1	11p15.5	1.9316e-04	3.4113e-04	4.1144e-01	6.9800e-01	3	1.0566e+00	0.0269868234606273	0.362408849099984	3126	0.665	Rare Single Gene Mutation, Syndromic	2S	2S	confirmed|probable	monoallelic|biallelic	dominant negative|loss of function	Brain/Cognition
x	x	.	ENSG00000108510	MED13	17q23.2	1.0000e+00	1.0000e+00	0.0000e+00	3.0000e-02	0	1.0890e+00	0.608889048916633	0.788748347262237	189	0.922651933701657	Rare Single Gene Mutation, Syndromic	1	2S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000088038	CNOT3	19q13.42	9.9997e-01	1.0000e+00	0.0000e+00	7.6000e-02	0	1.0520e+00	0.392698326653595	0.242000173370146	6021	0.888	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	monoallelic	loss of function	
x	.	.	ENSG00000135316	SYNCRIP	6q14.3	9.9938e-01	9.9939e-01	6.6338e-02	2.0900e-01	0	1.1047e+00	0.352250745199459	0.500120276093507	1645	0.738	Rare Single Gene Mutation	3	4	probable	monoallelic	loss of function	
x	x	x	ENSG00000100207	TCF20	22q13.2	9.9998e-01	1.0000e+00	3.0129e-02	9.5000e-02	0	1.1973e+00	0.203852642966786	0.599326613228125	996	0.429447852760736	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000162105	SHANK2	11q13.3-q13.4	9.9992e-01	8.4299e-07	3.2996e-01	4.5800e-01	2	1.0125e+00	.	0.880222946766292	10	0.916201117318436	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	2	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000146872	TLK2	17q23	1.0000e+00	1.0000e+00	3.6368e-02	1.1400e-01	0	9.9727e-01	0.504765825299531	0.365385967942719	3076	0.878	Rare Single Gene Mutation, Syndromic	1	4S	confirmed	monoallelic	loss of function	
x	x	x	ENSG00000196628	TCF4	18q21.2	9.9987e-01	9.9981e-01	9.4955e-02	2.1700e-01	0	9.7236e-01	0.0855992963476238	0.690403943056107	579	0.892	Rare Single Gene Mutation, Syndromic, Genetic Association	1	3S	confirmed	monoallelic	loss of function	Face,Brain/Cognition
x	x	x	ENSG00000119669	IRF2BPL	14q24.3	9.6894e-01	8.3623e-01	1.5675e-01	4.0500e-01	1	1.8756e+00	.	0.820861444851328	110	0.911602209944751	Rare Single Gene Mutation, Syndromic	1	2S	probable	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000181090	EHMT1	9q34.3	1.0000e+00	1.0000e+00	1.5126e-02	7.2000e-02	0	1.2156e+00	0.317746167444193	0.236545624253016	6197	0.606	Rare Single Gene Mutation, Syndromic	1	3S	confirmed	monoallelic	loss of function	Face,Brain/Cognition,Heart/Cardiovasculature/Lymphatic
x	x	x	ENSG00000164134	NAA15	4q31.1	9.9858e-01	9.9578e-01	1.4885e-01	2.8000e-01	1	9.2795e-01	0.0899472957210927	0.586541560977187	1067	0.783068783068783	Rare Single Gene Mutation, Syndromic	1	1S	probable	monoallelic	loss of function	Heart/Cardiovasculature/Lymphatic
x	x	x	ENSG00000168137	SETD5	3p25.3	1.0000e+00	9.9997e-01	1.3025e-01	2.2700e-01	0	1.0519e+00	0.32365611585563	0.755827754412989	306	0.808988764044944	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	Brain/Cognition
x	x	x	ENSG00000204406	MBD5	2q23.2	9.9985e-01	1.0000e+00	4.3103e-02	1.3600e-01	0	1.0458e+00	0.237216741361891	0.199910743499008	7493	0.828	Rare Single Gene Mutation, Syndromic	1	3S	probable	monoallelic	loss of function	Brain/Cognition
x	.	.	ENSG00000157388	CACNA1D	3p21.1	1.0000e+00	1.0000e+00	1.4269e-01	2.1400e-01	0	1.0164e+00	0.155472779989917	0.299320399366595	4325	0.964467005076142	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	2	2	probable	biallelic|monoallelic	loss of function|activating	Endocrine/Metabolic,Brain/Cognition
x	.	.	ENSG00000136928	GABBR2	9q22.33	9.9979e-01	9.9999e-01	6.4595e-02	1.6700e-01	0	9.7610e-01	0.145735355455507	0.797440703173386	165	0.542	Rare Single Gene Mutation, Syndromic, Functional	3S	4S	probable	monoallelic	all missense/in frame	Brain/Cognition
x	.	x	ENSG00000157933	SKI	1p36.33-p36.32	9.8140e-01	9.9901e-01	4.0872e-02	1.9400e-01	0	1.4276e+00	0.233765857755855	0.266595268148902	5205	0.906	.	.	.	confirmed	monoallelic	all missense/in frame	Skeleton,Brain/Cognition,Heart/Cardiovasculature/Lymphatic
x	x	x	ENSG00000158445	KCNB1	20q13.13	9.8259e-01	9.9977e-01	0.0000e+00	1.2500e-01	0	9.0506e-01	0.283445988542263	0.269281182900346	5124	0.618	Rare Single Gene Mutation, Syndromic	1	.	confirmed	monoallelic	all missense/in frame	Brain/Cognition
x	x	x	ENSG00000144285	SCN1A	2q24.3	1.0000e+00	1.0000e+00	2.2602e-02	7.1000e-02	0	9.4329e-01	0.420278129321069	0.71461571460816	474	0.944	Rare Single Gene Mutation, Syndromic, Genetic Association	1	3S	confirmed	monoallelic	loss of function	Brain/Cognition
.	x	.	ENSG00000197170	PSMD12	17q24.2	9.9727e-01	9.9984e-01	3.4078e-02	1.6200e-01	0	7.6891e-01	0.182459910665696	0.171811109748111	8637	0.824	Syndromic	1	S	possible	monoallelic	loss of function	Kidney Renal Tract,Face,Brain/Cognition,Heart/Cardiovasculature/Lymphatic
x	x	.	ENSG00000179915	NRXN1	2p16.3	9.9995e-01	9.9964e-01	1.4962e-01	2.5400e-01	0	1.2215e+00	0.101009308235116	0.907935282764287	2	0.988235294117647	Rare Single Gene Mutation, Syndromic, Genetic Association	1	2	probable	monoallelic|biallelic	loss of function	Brain/Cognition
.	x	.	ENSG00000009307	CSDE1	1p13.2	9.9995e-01	1.0000e+00	4.5633e-02	1.4400e-01	0	9.5969e-01	0.242215242369019	0.52708833602243	1456	0.96	.	.	.	.	.	.	.
x	x	x	ENSG00000119866	BCL11A	2p16.1	8.2900e-01	9.6998e-01	1.2463e-01	3.2200e-01	1	8.3380e-01	0.253959390758762	0.795571624855149	171	0.989637305699482	Rare Single Gene Mutation, Syndromic	1	2S	confirmed	monoallelic	loss of function	Brain/Cognition
x	.	x	ENSG00000138668	HNRNPD	4q21.22	9.5734e-01	9.9621e-01	4.7945e-02	2.2700e-01	0	7.6752e-01	0.11503272009362	0.576212997870617	1125	0.68	.	.	.	probable	monoallelic	loss of function	
.	x	.	ENSG00000130940	CASZ1	1p36.22	9.9994e-01	1.0000e+00	6.6338e-02	1.5200e-01	0	9.7224e-01	0.159560978572451	0.235929786206408	6218	0.244	Rare Single Gene Mutation	2	3	.	.	.	.
x	x	x	ENSG00000134138	MEIS2	15q14	9.9425e-01	9.9938e-01	3.8881e-02	1.8400e-01	0	1.0290e+00	0.144679600719824	0.422640250873383	2408	0.412	Rare Single Gene Mutation, Syndromic	1	.	probable	monoallelic	loss of function	
x	.	x	ENSG00000073464	CLCN4	Xp22.2	9.8879e-01	9.9893e-01	0.0000e+00	1.5100e-01	0	9.9588e-01	0.227610895548846	0.592361308715602	1034	0.454	.	.	.	probable	hemizygous	all missense/in frame	Brain/Cognition
x	x	x	ENSG00000055609	KMT2C	7q36.1	1.0000e+00	1.0000e+00	8.2126e-02	1.2200e-01	0	1.0225e+00	0.0351219777925223	0.786727470427378	195	0.401129943502825	Rare Single Gene Mutation, Syndromic	1	2S	probable	monoallelic	loss of function	
x	x	.	ENSG00000165699	TSC1	9q34	9.9998e-01	1.0000e+00	3.7521e-02	1.1800e-01	0	9.5309e-01	0.275626247126147	0.389667197757565	2762	0.438	Rare Single Gene Mutation, Syndromic	1	.	confirmed	monoallelic	loss of function	Skin,Kidney Renal Tract,Brain/Cognition
x	.	x	ENSG00000185630	PBX1	1q23.3	9.1058e-01	9.9527e-01	8.1067e-02	2.5500e-01	0	8.8354e-01	0.0493427995899289	0.629993490746647	842	0.932	Rare Single Gene Mutation	3	4	probable	monoallelic	loss of function	
x	x	x	ENSG00000108001	EBF3	10q26.3	9.9859e-01	9.9993e-01	3.1575e-02	1.5000e-01	0	9.4870e-01	0.173148954176537	0.675238952217221	650	0.076	Rare Single Gene Mutation, Syndromic	1	.	confirmed	monoallelic	loss of function	Face,Brain/Cognition
.	x	.	ENSG00000171587	DSCAM	21q22.2	1.0000e+00	1.0000e+00	1.1397e-01	1.8900e-01	0	1.0691e+00	0.285814245439504	0.464362945656457	1990	0.982142857142857	Rare Single Gene Mutation, Genetic Association	1	1	.	.	.	.
x	x	x	ENSG00000146247	PHIP	6q14.1	1.0000e+00	1.0000e+00	5.7367e-02	1.1300e-01	0	9.7873e-01	0.0801395527382719	0.499720856784544	1647	0.35	Rare Single Gene Mutation, Syndromic	1	3S	confirmed	monoallelic	loss of function	Face,Brain/Cognition
x	.	x	ENSG00000176884	GRIN1	9q34.3	9.7271e-01	9.7629e-01	1.7106e-01	3.0900e-01	1	9.4628e-01	0.0620594388227731	0.234463985302648	6268	0.734	Rare Single Gene Mutation, Functional	2	3	confirmed	monoallelic	all missense/in frame	Brain/Cognition
x	.	x	ENSG00000120251	GRIA2	4q32.1	9.9551e-01	9.9916e-01	1.1752e-01	2.4700e-01	0	9.4644e-01	0.0893561908433593	0.861980401814572	32	0.94	Rare Single Gene Mutation	2	.	probable	monoallelic	loss of function	
x	.	x	ENSG00000148737	TCF7L2	10q25.2-q25.3	9.8961e-01	9.9537e-01	1.1923e-01	2.7300e-01	1	1.2068e+00	0.0860534936773061	0.303399183250577	4237	0.672	Rare Single Gene Mutation	2	3	probable	monoallelic	loss of function	
x	x	x	ENSG00000112640	PPP2R5D	6p21.1	9.9752e-01	9.9993e-01	5.5747e-02	1.7500e-01	0	9.7164e-01	0.118816151037639	0.379987386197015	2879	0.802	Rare Single Gene Mutation, Syndromic	1	4S	confirmed	monoallelic	dominant negative	Brain/Cognition
x	x	x	ENSG00000152217	SETBP1	18q12.3	9.9900e-01	1.0000e+00	2.3109e-02	1.1000e-01	0	1.0712e+00	0.0778803046512889	0.61271479485028	918	0.64	Rare Single Gene Mutation, Syndromic	1	3	confirmed	monoallelic	activating|loss of function	Face,Skeleton,Brain/Cognition
x	.	x	ENSG00000022355	GABRA1	5q34	9.6387e-01	9.1489e-01	1.4198e-01	3.6700e-01	1	1.2524e+00	0.116990173629782	0.464356466649925	1991	0.744	.	.	5	probable	monoallelic	loss of function|all missense/in frame	Brain/Cognition
.	x	.	ENSG00000135387	CAPRIN1	11p13	9.9977e-01	9.7247e-01	1.7258e-01	3.1100e-01	1	1.0932e+00	0.431987572666052	0.406489214479187	2572	0.364	Rare Single Gene Mutation, Functional	2	3	possible	monoallelic	loss of function	Brain/Cognition
x	.	x	ENSG00000184156	KCNQ3	8q24.22	9.8560e-01	8.0089e-01	1.9730e-01	3.5600e-01	1	9.6324e-01	0.0698015774540818	0.317319550228187	3962	0.872	Rare Single Gene Mutation, Genetic Association	2	3	confirmed	monoallelic	all missense/in frame	
.	.	.	ENSG00000170471	RALGAPB	20q11.23	1.0000e+00	1.0000e+00	4.1206e-02	1.0600e-01	0	1.0235e+00	0.534301372875743	0.457348914094686	2054	0.65	Rare Single Gene Mutation	2	3	.	.	.	.
.	.	.	ENSG00000157741	UBN2	7q34	9.9864e-01	9.9993e-01	1.0146e-01	2.1300e-01	0	1.0871e+00	0.100800700124719	0.803785490006008	144	0.78021978021978	Rare Single Gene Mutation	2	2	.	.	.	.
x	.	x	ENSG00000075043	KCNQ2	20q13.33	9.9936e-01	9.9998e-01	5.0284e-02	1.5800e-01	0	1.0931e+00	0.184601201909186	0.220945346547973	6732	0.884	Rare Single Gene Mutation, Syndromic, Genetic Association	2	3	confirmed	monoallelic	loss of function	Musculature,Brain/Cognition
.	x	.	ENSG00000118482	PHF3	6q12	9.9947e-01	9.9256e-01	1.8570e-01	2.8600e-01	1	1.0696e+00	0.127062998641514	0.695688580899908	557	0.889502762430939	Rare Single Gene Mutation	1	2	.	.	.	.
x	x	x	ENSG00000153827	TRIP12	2q36.3	1.0000e+00	1.0000e+00	1.8956e-02	6.0000e-02	0	1.0496e+00	0.660254754767846	0.594546054128032	1020	1	Rare Single Gene Mutation, Syndromic	1	1S	confirmed	monoallelic	loss of function	
.	.	.	ENSG00000151623	NR3C2	4q31	9.2509e-01	8.3739e-01	1.9414e-01	3.5000e-01	1	1.0333e+00	0.078366047340457	0.0646428216928139	15001	0.928	Rare Single Gene Mutation, Syndromic	2S	3	.	.	.	.
x	x	x	ENSG00000158321	AUTS2	7q11.22	9.9619e-01	9.9934e-01	1.3464e-01	2.5300e-01	0	1.0810e+00	0.0672705374765126	0.682096452337282	617	0.756	Rare Single Gene Mutation, Syndromic, Genetic Association	1	3	confirmed	monoallelic	loss of function	Brain/Cognition
.	.	.	ENSG00000196092	PAX5	9p13.2	9.8424e-01	9.9798e-01	0.0000e+00	1.6500e-01	0	1.0579e+00	0.210513446523763	0.661498178636717	698	0.666	Rare Single Gene Mutation	2	3	.	.	.	.
x	x	x	ENSG00000132535	DLG4	17p13.1	9.9659e-01	9.9954e-01	1.1327e-01	2.3800e-01	0	9.2536e-01	0.100440362654886	0.649900361130272	745	0.364	Rare Single Gene Mutation, Syndromic, Functional	1	5	probable	monoallelic	loss of function	Brain/Cognition
x	x	.	ENSG00000075624	ACTB	7p22.1	9.3580e-01	9.8564e-01	0.0000e+00	2.3200e-01	0	1.9616e+00	0.288972704581936	0.428137926138737	2350	0.294	.	.	.	confirmed|probable	monoallelic	all missense/in frame|loss of function	Brain/Cognition,Eye|Kidney Renal Tract,Brain/Cognition,Heart/Cardiovasculature/Lymphatic
x	.	x	ENSG00000204435	CSNK2B	6p21.33	9.4386e-01	9.1728e-01	8.0668e-02	3.8300e-01	1	8.3038e-01	0.267164324798718	.	.	0.0649350649350649	.	.	.	probable	monoallelic	loss of function	
x	.	x	ENSG00000081189	MEF2C	5q14.3	4.2462e-03	1.7256e-02	3.2392e-01	6.0800e-01	3	8.3674e-01	0.0266597638183215	0.179953074256832	8293	0.502	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	3S	4S	confirmed	monoallelic	loss of function	Face,Brain/Cognition
x	x	x	ENSG00000176165	FOXG1	14q12	.	9.4355e-01	0.0000e+00	3.2900e-01	1	1.2947e+00	.	0.0562657465784145	16088	0.866	Rare Single Gene Mutation, Syndromic, Genetic Association	1	.	confirmed	monoallelic	loss of function	Brain/Cognition
