Curated	Known	Ascertainment	GeneID	HGNC	EntrezID	CytoBand	ExACpLI	LOEUFbin	Arisk	ForecASD	ASDdnSignif	ASDNDDdnSignif	SFARICategory	SFARIScore	DDDCategory	DDDAllelic	DDDMutCons	DDDOrgan	dnLoFCase	dnLoFMegaCase	dnDmisCase	dnLoFControl	dnDmisControl	pAllEnrichMeta	pMisCombMeta	pDenovoWESTMeta	Filter	Par	Trans	NonTrans	TransUnaff	NonTransUnaff	TDTStat	pTDT	AllCase	AllCaseRate	NRCase	NRCaseRate	NREuroCase	NREuroCaseRate	NRControl	NRControlRate	NREuroControl	NREuroControlRate	pPCC	FullCase	FullCaseInherit	FullCaseRate	UnrelCase	UnrelCaseInherit	UnrelCaseRate	gnomADexome	gnomADexomeRate	gnomADexomepCC	gnomADexomepTDTCC	gnomADexomepTDTCCdnWEST	gnomADexomepMegaCC	gnomADexomeNonNeuro	gnomADexomeNonNeuroRate	gnomADexomeNonNeuropCC	gnomADexomeNonNeuropTDTCC	gnomADexomeNonNeuropTDTCCdnWEST	gnomADexomeNonNeuropMegaCC	gnomADexomeNonNeuroEuro	gnomADexomeNonNeuroEuroRate	gnomADexomeNonNeuroEuropCC	gnomADexomeNonNeuroEuropTDTCC	gnomADexomeNonNeuroEuropTDTCCdnWEST	gnomADexomeNonNeuroEuropMegaCC	gnomADgenome	gnomADgenomeRate	gnomADgenomepCC	gnomADgenomepTDTCC	gnomADgenomepTDTCCdnWEST	gnomADgenomepMegaCC	gnomADgenomeNonNeuro	gnomADgenomeNonNeuroRate	gnomADgenomeNonNeuropCC	gnomADgenomeNonNeuropTDTCC	gnomADgenomeNonNeuropTDTCCdnWEST	gnomADgenomeNonNeuropMegaCC	gnomADgenomeNonNeuroEuro	gnomADgenomeNonNeuroEuroRate	gnomADgenomeNonNeuroEuropCC	gnomADgenomeNonNeuroEuropTDTCC	gnomADgenomeNonNeuroEuropTDTCCdnWEST	gnomADgenomeNonNeuroEuropMegaCC	TopMed	TopMedRate	TopMedpCC	TopMedpTDTCC	TopMedpTDTCCdnWEST	TopMedpMegaCC
x	x	Denovo	ENSG00000171862	PTEN	5728	10q23.31	0.975506865848027	2	0.570033447284236	0.973958333333333	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic|mosaic	loss of function|uncertain	Skin,Skeleton,Brain/Cognition	12	7	20	1	0	1.00E-14	2.62E-15	2.62E-15	RareLoFpExt0.9	7	8	1	1	4	2.33333333333333	0.02	11	0.63	9	0.57	8	0.73	0	0.00	0	0.00	0.003194774	26	8	0.73	22	6	0.69	20	0.16	2.86E-03	6.16E-04	5.55E-16	2.86E-06	13	0.12	1.00E-03	2.37E-04	2.22E-16	5.70E-07	1	0.02	1.47E-05	4.71E-06	0.00E+00	.	7	0.09	3.53E-04	9.09E-05	1.11E-16	1.99E-07	6	0.09	4.00E-04	1.02E-04	1.11E-16	3.50E-07	4	0.13	2.66E-03	5.77E-04	4.44E-16	.	10	0.08	4.39E-05	1.31E-05	0.00E+00	9.39E-10
x	x	Denovo	ENSG00000171862	PTEN	5728	10q23.31	0.975506865848027	2	0.570033447284236	0.973958333333333	x	x	Rare Single Gene Mutation, Syndromic, Functional	1	confirmed	monoallelic|mosaic	loss of function|uncertain	Skin,Skeleton,Brain/Cognition	12	7	20	1	0	1.00E-14	2.62E-15	2.62E-15	URLoFpExt0.9	7	8	1	1	4	2.33333333333333	0.02	11	0.63	9	0.57	8	0.73	0	0.00	0	0.00	0.003194774	26	8	0.73	22	6	0.69	11	0.09	1.20E-04	3.33E-05	0.00E+00	7.09E-09	6	0.06	2.37E-05	7.37E-06	0.00E+00	8.25E-10	0	0.00	1.97E-06	7.12E-07	0.00E+00	.	7	0.09	3.53E-04	9.09E-05	1.11E-16	1.99E-07	6	0.09	4.00E-04	1.02E-04	1.11E-16	3.50E-07	4	0.13	2.66E-03	5.77E-04	4.44E-16	.	10	0.08	4.39E-05	1.31E-05	0.00E+00	9.39E-10
x	x	Denovo,TDT	ENSG00000170471	RALGAPB	57148	20q11.23	0.999999955632558	0	0.457348914094686	0.65	.	.	Rare Single Gene Mutation	2	.	.	.	.	5	4	0	0	1	7.27E-05	1.00	7.27E-05	AllLoFpExt0.9	7	7	1	2	0	2.12132034355964	0.04	6	0.34	6	0.38	5	0.45	0	0.00	0	0.00	0.02169169	17	7	0.48	17	7	0.53	12	0.10	8.96E-03	3.20E-03	4.45E-06	4.02E-06	10	0.10	0.01	3.72E-03	5.18E-06	8.59E-06	6	0.13	0.04	0.01	1.74E-05	.	4	0.05	2.14E-03	8.86E-04	1.23E-06	7.97E-07	3	0.04	1.72E-03	7.30E-04	1.02E-06	8.04E-07	0	0.00	8.64E-04	3.90E-04	5.45E-07	.	8	0.06	1.49E-03	6.41E-04	8.93E-07	7.57E-08
x	x	Denovo,TDT	ENSG00000170471	RALGAPB	57148	20q11.23	0.999999955632558	0	0.457348914094686	0.65	.	.	Rare Single Gene Mutation	2	.	.	.	.	5	4	0	0	1	7.27E-05	1.00	7.27E-05	RareLoFpExt0.9	7	7	1	2	0	2.12132034355964	0.04	6	0.34	6	0.38	5	0.45	0	0.00	0	0.00	0.02169169	17	7	0.48	17	7	0.53	12	0.10	8.96E-03	3.20E-03	4.45E-06	4.02E-06	10	0.10	0.01	3.72E-03	5.18E-06	8.59E-06	6	0.13	0.04	0.01	1.74E-05	.	4	0.05	2.14E-03	8.86E-04	1.23E-06	7.97E-07	3	0.04	1.72E-03	7.30E-04	1.02E-06	8.04E-07	0	0.00	8.64E-04	3.90E-04	5.45E-07	.	8	0.06	1.49E-03	6.41E-04	8.93E-07	7.57E-08
x	x	Denovo,TDT	ENSG00000170471	RALGAPB	57148	20q11.23	0.999999955632558	0	0.457348914094686	0.65	.	.	Rare Single Gene Mutation	2	.	.	.	.	5	4	0	0	1	7.27E-05	1.00	7.27E-05	URLoFpExt0.9	7	7	1	2	0	2.12132034355964	0.04	6	0.34	6	0.38	5	0.45	0	0.00	0	0.00	0.02169169	17	7	0.48	17	7	0.53	12	0.10	8.96E-03	3.20E-03	4.45E-06	4.02E-06	10	0.10	0.01	3.72E-03	5.18E-06	8.59E-06	6	0.13	0.04	0.01	1.74E-05	.	4	0.05	2.14E-03	8.86E-04	1.23E-06	7.97E-07	3	0.04	1.72E-03	7.30E-04	1.02E-06	8.04E-07	0	0.00	8.64E-04	3.90E-04	5.45E-07	.	8	0.06	1.49E-03	6.41E-04	8.93E-07	7.57E-08
x	x	Denovo,TDT	ENSG00000142599	RERE	473	1p36.23	0.999995655258253	0	0.630201633948429	0.712	.	x	Rare Single Gene Mutation, Syndromic, Genetic Association	1	confirmed	monoallelic	loss of function	Kidney Renal Tract,Face,Brain/Cognition,Genitalia,Ear,Heart/Cardiovasculature/Lymphatic	3	3	1	0	0	3.62E-03	0.13	3.62E-03	AllLoFpExt0.1	4	4	0	3	0	2	0.06	5	0.28	4	0.25	3	0.27	0	0.00	0	0.00	0.07777898	13	4	0.36	12	4	0.37	2	0.02	3.39E-03	1.93E-03	8.46E-05	1.34E-06	2	0.02	6.24E-03	3.33E-03	1.43E-04	6.76E-06	2	0.04	0.08	0.03	1.24E-03	.	8	0.11	0.13	0.05	1.92E-03	4.32E-03	7	0.10	0.14	0.05	1.95E-03	5.15E-03	5	0.16	0.33	0.10	4.06E-03	.	16	0.12	0.15	0.05	2.15E-03	3.66E-03
x	x	Denovo,TDT	ENSG00000142599	RERE	473	1p36.23	0.999995655258253	0	0.630201633948429	0.712	.	x	Rare Single Gene Mutation, Syndromic, Genetic Association	1	confirmed	monoallelic	loss of function	Kidney Renal Tract,Face,Brain/Cognition,Genitalia,Ear,Heart/Cardiovasculature/Lymphatic	3	3	1	0	0	3.62E-03	0.13	3.62E-03	RareLoFpExt0.1	4	4	0	3	0	2	0.06	5	0.28	4	0.25	3	0.27	0	0.00	0	0.00	0.07777898	13	4	0.36	12	4	0.37	2	0.02	3.39E-03	1.93E-03	8.46E-05	1.34E-06	2	0.02	6.24E-03	3.33E-03	1.43E-04	6.76E-06	2	0.04	0.08	0.03	1.24E-03	.	8	0.11	0.13	0.05	1.92E-03	4.32E-03	7	0.10	0.14	0.05	1.95E-03	5.15E-03	5	0.16	0.33	0.10	4.06E-03	.	16	0.12	0.15	0.05	2.15E-03	3.66E-03
x	x	Denovo,TDT	ENSG00000142599	RERE	473	1p36.23	0.999995655258253	0	0.630201633948429	0.712	.	x	Rare Single Gene Mutation, Syndromic, Genetic Association	1	confirmed	monoallelic	loss of function	Kidney Renal Tract,Face,Brain/Cognition,Genitalia,Ear,Heart/Cardiovasculature/Lymphatic	3	3	1	0	0	3.62E-03	0.13	3.62E-03	URLoFpExt0.1	4	4	0	3	0	2	0.06	5	0.28	4	0.25	3	0.27	0	0.00	0	0.00	0.07777898	12	4	0.34	11	4	0.34	2	0.02	3.39E-03	1.93E-03	8.46E-05	4.97E-06	2	0.02	6.24E-03	3.33E-03	1.43E-04	2.18E-05	2	0.04	0.08	0.03	1.24E-03	.	8	0.11	0.13	0.05	1.92E-03	9.02E-03	7	0.10	0.14	0.05	1.95E-03	0.01	5	0.16	0.33	0.10	4.06E-03	.	16	0.12	0.15	0.05	2.15E-03	8.37E-03
x	x	Denovo	ENSG00000146830	GIGYF1	64599	7q22.1	0.978704811680111	2	0.560433093649205	0.766	x	x	Rare Single Gene Mutation	1	probable	monoallelic	loss of function		12	10	2	2	0	2.24E-16	0.18	2.24E-16	AllLoFpExt0.9	28	20	10	6	7	1.82574185835055	0.05	32	1.82	28	1.77	21	1.90	6	0.42	5	0.47	0.0003277953	63	20	1.77	55	19	1.72	49	0.39	4.10E-08	4.31E-08	0.00E+00	4.86E-12	40	0.38	6.10E-08	6.29E-08	0.00E+00	1.60E-11	18	0.40	8.41E-06	6.59E-06	0.00E+00	.	25	0.33	4.06E-09	4.73E-09	0.00E+00	6.41E-13	24	0.36	2.25E-08	2.43E-08	0.00E+00	1.19E-11	14	0.44	1.89E-05	1.40E-05	0.00E+00	.	48	0.36	1.83E-09	2.21E-09	0.00E+00	2.35E-14
x	x	Denovo	ENSG00000146830	GIGYF1	64599	7q22.1	0.978704811680111	2	0.560433093649205	0.766	x	x	Rare Single Gene Mutation	1	probable	monoallelic	loss of function		12	10	2	2	0	2.24E-16	0.18	2.24E-16	RareLoFpExt0.9	28	20	10	6	7	1.82574185835055	0.05	31	1.76	27	1.71	21	1.90	6	0.42	5	0.47	0.0005160064	62	20	1.74	54	19	1.69	49	0.39	1.24E-07	1.24E-07	0.00E+00	1.18E-11	40	0.38	1.77E-07	1.73E-07	0.00E+00	3.69E-11	18	0.40	8.41E-06	6.59E-06	0.00E+00	.	23	0.30	4.07E-09	4.74E-09	0.00E+00	2.88E-13	22	0.33	2.08E-08	2.25E-08	0.00E+00	5.05E-12	12	0.38	5.03E-06	4.08E-06	0.00E+00	.	47	0.36	4.54E-09	5.26E-09	0.00E+00	3.75E-14
x	x	Denovo	ENSG00000146830	GIGYF1	64599	7q22.1	0.978704811680111	2	0.560433093649205	0.766	x	x	Rare Single Gene Mutation	1	probable	monoallelic	loss of function		12	10	2	2	0	2.24E-16	0.18	2.24E-16	URLoFpExt0.9	25	18	9	6	6	1.73205080756888	0.06	25	1.42	21	1.33	15	1.36	5	0.35	4	0.37	0.003034678	53	18	1.49	46	17	1.44	49	0.39	5.71E-05	4.65E-05	0.00E+00	1.04E-08	40	0.38	6.66E-05	5.37E-05	0.00E+00	2.19E-08	18	0.40	1.66E-03	1.02E-03	0.00E+00	.	23	0.30	3.05E-06	3.02E-06	0.00E+00	2.46E-10	22	0.33	9.79E-06	9.02E-06	0.00E+00	2.46E-09	12	0.38	9.27E-04	6.01E-04	0.00E+00	.	47	0.36	5.14E-06	4.93E-06	0.00E+00	9.48E-11
x	x	TDT	ENSG00000079432	CIC	23152	19q13.2	0.99990294666404	0	0.401415991328322	0.715789473684211	.	.	Rare Single Gene Mutation, Functional	1	probable	monoallelic	loss of function	Brain/Cognition	2	1	0	0	0	0.05	0.43	0.05	AllLoFpExt0.9	3	3	0	0	2	1.73205080756888	0.12	7	0.40	7	0.44	4	0.36	0	0.00	0	0.00	0.01145537	11	3	0.31	11	3	0.34	9	0.07	1.37E-03	1.59E-03	6.67E-04	9.88E-04	8	0.08	2.31E-03	2.54E-03	1.03E-03	2.02E-03	4	0.09	0.06	0.04	0.02	.	5	0.07	1.39E-04	2.00E-04	9.43E-05	5.70E-05	5	0.07	2.75E-04	3.74E-04	1.70E-04	1.43E-04	4	0.13	0.04	0.03	0.01	.	4	0.03	2.30E-06	4.44E-06	2.52E-06	2.00E-07
x	x	TDT	ENSG00000079432	CIC	23152	19q13.2	0.99990294666404	0	0.401415991328322	0.715789473684211	.	.	Rare Single Gene Mutation, Functional	1	probable	monoallelic	loss of function	Brain/Cognition	2	1	0	0	0	0.05	0.43	0.05	RareLoFpExt0.9	3	3	0	0	2	1.73205080756888	0.12	7	0.40	7	0.44	4	0.36	0	0.00	0	0.00	0.01145537	11	3	0.31	11	3	0.34	9	0.07	1.37E-03	1.59E-03	6.67E-04	9.88E-04	8	0.08	2.31E-03	2.54E-03	1.03E-03	2.02E-03	4	0.09	0.06	0.04	0.02	.	5	0.07	1.39E-04	2.00E-04	9.43E-05	5.70E-05	5	0.07	2.75E-04	3.74E-04	1.70E-04	1.43E-04	4	0.13	0.04	0.03	0.01	.	4	0.03	2.30E-06	4.44E-06	2.52E-06	2.00E-07
x	x	TDT	ENSG00000079432	CIC	23152	19q13.2	0.99990294666404	0	0.401415991328322	0.715789473684211	.	.	Rare Single Gene Mutation, Functional	1	probable	monoallelic	loss of function	Brain/Cognition	2	1	0	0	0	0.05	0.43	0.05	URLoFpExt0.9	3	3	0	0	2	1.73205080756888	0.12	7	0.40	7	0.44	4	0.36	0	0.00	0	0.00	0.01145537	11	3	0.31	11	3	0.34	9	0.07	1.37E-03	1.59E-03	6.67E-04	9.88E-04	8	0.08	2.31E-03	2.54E-03	1.03E-03	2.02E-03	4	0.09	0.06	0.04	0.02	.	5	0.07	1.39E-04	2.00E-04	9.43E-05	5.70E-05	5	0.07	2.75E-04	3.74E-04	1.70E-04	1.43E-04	4	0.13	0.04	0.03	0.01	.	4	0.03	2.30E-06	4.44E-06	2.52E-06	2.00E-07
x	x	TDT	ENSG00000115306	SPTBN1	6711	2p16.2	0.999999999947367	0	0.75263095300591	0.53	.	.	.	.	probable	monoallelic	loss of function		3	3	3	0	1	8.68E-04	0.08	8.68E-04	AllLoFpExt0.5	5	5	1	1	0	1.63299316185545	0.11	18	1.02	16	1.01	10	0.91	1	0.07	0	0.00	0.000312922	26	5	0.73	22	3	0.69	11	0.09	2.62E-09	6.62E-09	1.13E-10	1.25E-08	8	0.08	2.48E-09	6.27E-09	1.07E-10	1.36E-08	3	0.07	1.56E-05	2.45E-05	3.40E-07	.	13	0.17	4.11E-06	7.05E-06	1.01E-07	4.78E-05	12	0.18	8.45E-06	1.38E-05	1.95E-07	1.03E-04	0	0.00	1.25E-06	2.31E-06	3.39E-08	.	47	0.36	7.56E-04	8.65E-04	1.10E-05	9.88E-03
x	x	TDT	ENSG00000115306	SPTBN1	6711	2p16.2	0.999999999947367	0	0.75263095300591	0.53	.	.	.	.	probable	monoallelic	loss of function		3	3	3	0	1	8.68E-04	0.08	8.68E-04	RareLoFpExt0.5	5	5	1	1	0	1.63299316185545	0.11	18	1.02	16	1.01	10	0.91	1	0.07	0	0.00	0.000312922	26	5	0.73	22	3	0.69	11	0.09	2.62E-09	6.62E-09	1.13E-10	1.25E-08	8	0.08	2.48E-09	6.27E-09	1.07E-10	1.36E-08	3	0.07	1.56E-05	2.45E-05	3.40E-07	.	13	0.17	4.11E-06	7.05E-06	1.01E-07	4.78E-05	12	0.18	8.45E-06	1.38E-05	1.95E-07	1.03E-04	0	0.00	1.25E-06	2.31E-06	3.39E-08	.	47	0.36	7.56E-04	8.65E-04	1.10E-05	9.88E-03
x	x	TDT	ENSG00000115306	SPTBN1	6711	2p16.2	0.999999999947367	0	0.75263095300591	0.53	.	.	.	.	probable	monoallelic	loss of function		3	3	3	0	1	8.68E-04	0.08	8.68E-04	URLoFpExt0.5	4	4	1	1	0	1.34164078649987	0.19	14	0.80	14	0.89	10	0.91	1	0.07	0	0.00	0.0009981806	21	4	0.59	19	2	0.59	11	0.09	7.12E-08	2.59E-07	4.03E-09	4.20E-07	8	0.08	6.13E-08	2.24E-07	3.51E-09	3.93E-07	3	0.07	1.56E-05	4.07E-05	5.57E-07	.	2	0.03	1.70E-09	7.38E-09	1.25E-10	1.00E-08	1	0.01	9.99E-10	4.44E-09	7.64E-11	6.31E-09	0	0.00	1.25E-06	3.85E-06	5.60E-08	.	1	0.01	3.35E-13	2.00E-12	4.09E-14	5.19E-13
